pattern,corr_with_stim
Pattern5,0.753085988542325
Pattern3,0.3672005913583181
Pattern4,0.03539855748086594
Pattern6,0.005002813420894851
Pattern2,-0.2122257062966508
Pattern1,-0.27728597280300626
