"pattern","corr_with_stim"
"Pattern4",0.753632351205414
"Pattern5",0.366354945586304
"Pattern1",0.035373712127838
"Pattern3",0.00264893216514179
"Pattern6",-0.210740662736294
"Pattern2",-0.278438105870644
