"pattern","rank","gene","weight"
"Pattern3",35,"NFKBIA",0.85254693031311
"Pattern3",36,"GPR183",0.847134232521057
"Pattern3",37,"CMTM6",0.840897798538208
"Pattern3",38,"GPX4",0.838487148284912
"Pattern3",39,"ATP6V0B",0.82377678155899
"Pattern3",40,"PIM3",0.801030218601227
"Pattern3",41,"HSPD1",0.753466784954071
"Pattern3",42,"CREM",0.742298483848572
"Pattern3",43,"CD63",0.740991830825806
"Pattern3",44,"SQSTM1",0.73796284198761
"Pattern3",45,"ATP1B3",0.73437911272049
"Pattern3",46,"TYMP",0.731198132038116
"Pattern3",47,"TUBA1B",0.723615109920502
"Pattern3",48,"SRSF7",0.709831774234772
"Pattern3",49,"ATP6V1F",0.70951235294342
"Pattern3",50,"LSP1",0.709075212478638
"Pattern4",1,"ISG15",9.82040977478027
"Pattern4",2,"ISG20",8.38416481018066
"Pattern4",3,"IFI6",6.575852394104
"Pattern4",4,"IFIT3",4.92728328704834
"Pattern4",5,"LY6E",4.53398990631104
"Pattern4",6,"IFIT1",4.01197099685669
"Pattern4",7,"MX1",3.85335969924927
"Pattern4",8,"FTH1",2.98574447631836
"Pattern4",9,"IFIT2",1.60991239547729
"Pattern4",10,"SAT1",1.56951463222504
"Pattern4",11,"IRF7",1.56163501739502
"Pattern4",12,"TNFSF10",1.40809190273285
"Pattern4",13,"OAS1",1.35603356361389
"Pattern4",14,"PLSCR1",1.17907178401947
"Pattern4",15,"BST2",1.08426094055176
"Pattern4",16,"MT2A",1.00768744945526
"Pattern4",17,"EPSTI1",0.94852340221405
"Pattern4",18,"RSAD2",0.921491742134094
"Pattern4",19,"OASL",0.891982197761536
"Pattern4",20,"IFITM2",0.888352751731873
"Pattern4",21,"DYNLT1",0.820130109786987
"Pattern4",22,"IFI35",0.799195230007172
"Pattern4",23,"GBP1",0.703997790813446
"Pattern4",24,"HSPA8",0.667928516864777
"Pattern4",25,"SAMD9L",0.644163012504578
"Pattern4",26,"DNAJA1",0.609761953353882
"Pattern4",27,"SOCS1",0.5904141664505
"Pattern4",28,"NT5C3A",0.576103985309601
"Pattern4",29,"SELL",0.524460077285767
"Pattern4",30,"DDX58",0.49025821685791
