"pattern","mean_loading_sd","median_loading_sd","max_loading_sd","mean_factor_sd","median_factor_sd","max_factor_sd","top_gene_mean_weight","top_gene_mean_loading_sd","top_gene_median_loading_cv"
"Pattern1",0.0030901463274907,0.000768847326980904,0.0700760930776596,0.00423531565972689,0.00202898867428303,0.0184742026031017,3.87691957155863,0.0478648282587528,0.011913453932718
"Pattern2",0.00282837002525184,0.000864697358338162,0.116688400506973,0.00439207242223743,0.00322652794420719,0.017024178057909,6.3472874323527,0.0731395582358042,0.0115085502229556
"Pattern3",0.00492223498961994,0.00549221877008677,0.207642257213593,0.00441581810147328,0.00331303221173584,0.020317580550909,5.4655092159907,0.0859960199644168,0.0160157586360185
"Pattern4",0.00181210892586864,0.000531234691152349,0.227543160319328,0.0104977207610653,0.00933757796883583,0.0389043241739273,3.65741970539093,0.0850806129475435,0.023328178015255
"Pattern5",0.00286272760472195,0.000813707534689456,0.084245465695858,0.00278071935020743,0.000560842629056424,0.0173948407173157,5.63974243799845,0.0597308439513048,0.0105294942234269
"Pattern6",0.00235674685927612,0.00183871801709756,0.294660240411758,0.0147873911247852,0.015642087906599,0.03545281291008,2.88539553880692,0.065766524647673,0.0229112759198029
