"gene","pattern","rank","cogaps_weight","contrast_scope","mean_log2fc_stim_vs_ctrl","median_log2fc_stim_vs_ctrl","n_pairs","n_up_pairs","n_down_pairs","n_zero_pairs","sign_consistency","wilcoxon_pvalue","direction","evidence_strength","wilcoxon_fdr"
"FTH1","Pattern3",8,3.59436368942261,"global",-1.0809246736652,-1.05921027187755,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"PFN1","Pattern3",9,3.1440258026123,"global",-1.15294391276048,-1.13339028047681,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"HLA-DQB1","Pattern3",10,2.78351044654846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLA-DQA1","Pattern3",11,2.27387642860413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSP90AB1","Pattern3",12,1.99011337757111,"global",0.310216810834373,0.258489484497137,8,8,0,0,1,0.0142661867014469,"up_in_stim","moderate",0.0164371281560149
"HSP90AA1","Pattern3",13,1.96780741214752,"global",0.734754347214157,0.693543508501727,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"ACTG1","Pattern3",14,1.63891017436981,"global",-0.904648467702471,-0.898069013650399,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"HLA-DMA","Pattern3",15,1.62464928627014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISG15","Pattern4",1,9.82040977478027,"global",6.17321590430931,6.16798782377512,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"ISG20","Pattern4",2,8.38416481018066,"global",3.66850390134424,3.57427734682254,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"IFI6","Pattern4",3,6.575852394104,"global",4.68812154886454,4.53017740479273,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"IFIT3","Pattern4",4,4.92728328704834,"global",6.39461435745302,5.99054631473433,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"LY6E","Pattern4",5,4.53398990631104,"global",4.18328625296589,4.07367569844011,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"IFIT1","Pattern4",6,4.01197099685669,"global",7.41602259590711,7.32742209880761,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"MX1","Pattern4",7,3.85335969924927,"global",4.93797458482545,5.01754769699488,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"FTH1","Pattern4",8,2.98574447631836,"global",-1.0809246736652,-1.05921027187755,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"IFIT2","Pattern4",9,1.60991239547729,"global",6.39050439591817,6.03098517854245,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"SAT1","Pattern4",10,1.56951463222504,"global",1.3698097478045,1.372008837073,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"IRF7","Pattern4",11,1.56163501739502,"global",2.95852296779169,3.01082536267631,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"TNFSF10","Pattern4",12,1.40809190273285,"global",5.04933592325015,4.97803618020624,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"OAS1","Pattern4",13,1.35603356361389,"global",3.96238793116664,4.10488058061511,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"PLSCR1","Pattern4",14,1.17907178401947,"global",2.67163634404404,2.57903710685419,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"BST2","Pattern4",15,1.08426094055176,"global",2.02879220287445,2.15909772795487,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"CXCL10","Pattern5",1,8.17831039428711,"global",6.92989480788184,7.0880367972072,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"ISG15","Pattern5",2,7.77035284042358,"global",6.17321590430931,6.16798782377512,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"APOBEC3A","Pattern5",3,7.38243389129639,"global",5.13900451504715,5.15479807246071,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"IFITM3","Pattern5",4,6.76309967041016,"global",4.77034449917509,4.65820636510826,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"FTL","Pattern5",5,6.11449909210205,"global",-0.593321764978219,-0.578827954251635,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"RSAD2","Pattern5",6,5.73615598678589,"global",6.92320450811181,7.15793775116884,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"TNFSF10","Pattern5",7,5.33551263809204,"global",5.04933592325015,4.97803618020624,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"FTH1","Pattern5",8,4.96856784820557,"global",-1.0809246736652,-1.05921027187755,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"SAT1","Pattern5",9,4.95289897918701,"global",1.3698097478045,1.372008837073,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"SOD2","Pattern5",10,4.65984487533569,"global",0.506173706233199,0.579908977046506,8,7,1,0,0.875,0.0208625823327655,"up_in_stim","strong",0.0230357679924286
"ISG20","Pattern5",11,4.6575870513916,"global",3.66850390134424,3.57427734682254,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"TYMP","Pattern5",12,4.61898517608643,"global",1.01141325645274,1.058611437238,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"IFIT3","Pattern5",13,4.55023384094238,"global",6.39461435745302,5.99054631473433,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"C15orf48","Pattern5",14,4.4626350402832,"global",0.0100142463260815,0.0400789297422373,8,5,3,0,0.625,0.944182513250483,"up_in_stim","weak_or_mixed",0.944182513250483
