K,n_iter,n_ok,runtime_min_mean,runtime_min_min,runtime_min_max,ifn_corr_mean,ifn_corr_std,ifn_corr_min,ifn_corr_max,jaccard_mean,jaccard_min,best_seed,best_ifn_pattern,best_ifn_corr,best_top10
2,2000,5,19.680801350275676,18.314413897196452,20.822965145111084,0.6156431458893327,0.00038434874594309116,0.6150099024596096,0.6159511641968309,0.9610859728506789,0.9230769230769231,2,Pattern1,0.6159511641968309,ISG15;FTH1;ISG20;IFIT3;IFI6;LY6E;IFIT1;FTL;MX1;TNFSF10
3,2000,5,23.470840032100675,22.845473420619964,24.164345276355743,0.5817095796274826,0.06743917918914455,0.5513967870758203,0.7023481397516615,0.7714285714285715,0.42857142857142855,1,Pattern2,0.7023481397516615,FTH1;ISG20;ISG15;IFI6;LY6E;IFIT3;MX1;IFIT1;ACTB;FTL
4,2000,5,28.35398609638214,27.26693527698517,29.0826584815979,0.764564307122378,0.0010821697573854653,0.7635255516223116,0.7656825758988498,0.9764705882352942,0.9607843137254902,2,Pattern4,0.7656825758988498,ISG15;ISG20;IFI6;IFIT3;LY6E;FTH1;IFIT1;MX1;SAT1;IFIT2
5,2000,5,31.906125366687775,30.737705890337626,34.29731466770172,0.7543821123238994,0.0023696046930606683,0.7527820333009009,0.7584957896461695,0.9764705882352942,0.9607843137254902,1,Pattern4,0.7584957896461695,ISG15;ISG20;IFI6;IFIT3;LY6E;IFIT1;MX1;FTH1;SAT1;IFIT2
6,2000,5,36.899395357767744,35.983737683296205,37.95386626720428,0.7504815885423182,0.0023830148576010745,0.7484802750713002,0.7530859885423248,1.0,1.0,2,Pattern5,0.7530859885423248,ISG15;ISG20;IFI6;IFIT3;LY6E;IFIT1;MX1;FTH1;IFIT2;SAT1
7,2000,5,40.097932262420656,39.3168656984965,40.83586944739024,0.740983940577507,0.006943662647729259,0.7350654746681168,0.7484908812876252,0.953846153846154,0.9230769230769231,2,Pattern2,0.7484908812876252,ISG15;ISG20;IFI6;IFIT3;LY6E;IFIT1;MX1;FTH1;IFIT2;IRF7
8,2000,5,45.135832404295606,43.390361817677814,46.600612274805705,0.717814865658133,0.040101006590808015,0.6738867078293505,0.7473398653130261,0.6823529411764706,0.47058823529411764,1,Pattern1,0.7473398653130261,ISG15;ISG20;IFI6;IFIT3;LY6E;IFIT1;MX1;FTH1;IFIT2;IRF7
