pattern,cell_type,ctrl,stim,stim_minus_ctrl
Pattern1,B cells,0.0032123556604438,0.0019106589416452,-0.0013016967187986
Pattern1,CD14+ Monocytes,0.4941566552608534,0.150639338902762,-0.3435173163580914
Pattern1,CD4 T cells,0.0052723637341588,0.0037480692799235,-0.0015242944542353002
Pattern1,CD8 T cells,0.008304841960038,0.0074006029805529,-0.0009042389794851006
Pattern1,Dendritic cells,0.327303809600359,0.0841427280966238,-0.24316108150373517
Pattern1,FCGR3A+ Monocytes,0.2421174170523954,0.0244999026969313,-0.2176175143554641
Pattern1,Megakaryocytes,0.0082887574940359,0.0005560652149353,-0.0077326922791006
Pattern1,NK cells,0.0124933069497008,0.0092222524212082,-0.0032710545284925993
Pattern2,B cells,0.1771079527491952,0.0930210362776254,-0.0840869164715698
Pattern2,CD14+ Monocytes,0.0708449199731247,0.0552347127192634,-0.015610207253861301
Pattern2,CD4 T cells,0.2888333132744808,0.2102666369896413,-0.07856667628483952
Pattern2,CD8 T cells,0.237148063956285,0.1686289816483464,-0.0685190823079386
Pattern2,Dendritic cells,0.162147109308078,0.1148164902188841,-0.04733061908919389
Pattern2,FCGR3A+ Monocytes,0.1060646919714462,0.0434906849975973,-0.0625740069738489
Pattern2,Megakaryocytes,0.0953098339096103,0.0857609942430154,-0.009548839666594894
Pattern2,NK cells,0.213794350418579,0.1447339529426722,-0.06906039747590681
Pattern3,B cells,0.0002027230316578,0.0066219886117749,0.006419265580117101
Pattern3,CD14+ Monocytes,0.0087419931901242,0.4836519102837088,0.4749099170935846
Pattern3,CD4 T cells,0.0010358792044454,0.0053783833976212,0.0043425041931758005
Pattern3,CD8 T cells,0.0012359242908711,0.0034264309085911,0.00219050661772
Pattern3,Dendritic cells,0.0040252489346716,0.2734535631237985,0.2694283141891269
Pattern3,FCGR3A+ Monocytes,0.006251538605695,0.3021915278272492,0.2959399892215542
Pattern3,Megakaryocytes,0.0005375340816744,0.0093604542932249,0.0088229202115505
Pattern3,NK cells,0.0015578750724618,0.0072865332085504,0.0057286581360886
Pattern4,B cells,0.0009077280129005,0.0027068476074578,0.0017991195945572997
Pattern4,CD14+ Monocytes,0.0488382609399482,0.0581730459061504,0.0093347849662022
Pattern4,CD4 T cells,0.0017439802549768,0.0020871008887925,0.0003431206338156997
Pattern4,CD8 T cells,0.0022413321898253,0.0026868340705969,0.00044550188077160024
Pattern4,Dendritic cells,0.0264480128213594,0.0437622462789974,0.017314233457638
Pattern4,FCGR3A+ Monocytes,0.4678903326822015,0.5603357698958242,0.09244543721362275
Pattern4,Megakaryocytes,0.0075731780716956,0.0016016650523081,-0.0059715130193875
Pattern4,NK cells,0.0069909865383835,0.0075508563603526,0.0005598698219690997
Pattern5,B cells,0.0093934873268007,0.4034240592522233,0.3940305719254226
Pattern5,CD14+ Monocytes,0.0123843435238543,0.1734647856691908,0.1610804421453365
Pattern5,CD4 T cells,0.0072219442366764,0.3003747165919092,0.2931527723552328
Pattern5,CD8 T cells,0.008885339075718,0.3189344383086948,0.3100490992329768
Pattern5,Dendritic cells,0.0160987321870018,0.3901169652379737,0.37401823305097187
Pattern5,FCGR3A+ Monocytes,0.0405062201434579,0.4061299244026222,0.3656237042591643
Pattern5,Megakaryocytes,0.0031162440415668,0.0490977721827396,0.045981528141172796
Pattern5,NK cells,0.0160925056430447,0.4011153556846537,0.38502285004160897
Pattern6,B cells,0.1802885765355313,0.1695868025776278,-0.010701773957903504
Pattern6,CD14+ Monocytes,0.0954235086047609,0.1017771600523303,0.0063536514475694
Pattern6,CD4 T cells,0.0039752374815023,0.0047662072824857,0.0007909698009834001
Pattern6,CD8 T cells,0.0138950826993472,0.0136522303507644,-0.00024285234858279978
Pattern6,Dendritic cells,0.4892413512796394,0.5238385887548492,0.03459723747520982
Pattern6,FCGR3A+ Monocytes,0.1013691979920385,0.101091611589883,-0.0002775864021554997
Pattern6,Megakaryocytes,0.0069221365070512,0.0070646445728134,0.0001425080657621999
Pattern6,NK cells,0.0075082051108283,0.0073062169353259,-0.0002019881755024001
